label,text
corrosion,"Fisura delgada y continua en dirección del refuerzo. El concreto está suelto y se desprende fácilmente, mostrando oxidación interna del acero."
punzonamiento,"En el perímetro del pilar se nota un anillo de grietas finas inclinadas. El concreto exterior se mantiene estable, pero el interior muestra desplazamiento vertical."
punzonamiento,"Se observan grietas diagonales con separación progresiva. El daño aumenta hacia el contorno del apoyo, propio de punzonamiento avanzado."
corrosion,"La superficie del concreto se ve manchada y con fisuras paralelas a la varilla. En algunos puntos el acero ya está expuesto, con pérdida de sección metálica visible."
corrosion,"Grietas finas y alargadas aparecen sobre las vigas. En los bordes se distinguen zonas marrones de óxido, señal de corrosión interna en el acero de refuerzo."
corrosion,"Se observa desprendimiento del recubrimiento de concreto y manchas de óxido. Las fisuras siguen la dirección de las varillas, indicando corrosión activa en el refuerzo."
corrosion,"El recubrimiento del concreto se agrieta y levanta, dejando ver barras oxidadas. Este patrón continuo es típico de la corrosión por humedad prolongada o exposición a sales."
punzonamiento,"Las grietas diagonales convergen hacia el pilar central, visibles tanto en la parte inferior como superior de la losa. Muestran un patrón radial clásico."
corrosion,"A simple vista se nota una grieta paralela a la armadura, con partes del recubrimiento despegadas. El sonido hueco al golpear confirma la separación entre concreto y acero."
punzonamiento,"Las grietas diagonales convergen hacia el pilar central, visibles tanto en la parte inferior como superior de la losa. Muestran un patrón radial clásico."
corrosion,Se detectan grietas longitudinales con desprendimiento del concreto superficial. El daño se asocia a reacciones químicas por exposición prolongada a la humedad.
corrosion,Se detectan grietas longitudinales con desprendimiento del concreto superficial. El daño se asocia a reacciones químicas por exposición prolongada a la humedad.
corrosion,"A simple vista se nota una grieta paralela a la armadura, con partes del recubrimiento despegadas. El sonido hueco al golpear confirma la separación entre concreto y acero."
punzonamiento,"A simple vista, la losa parece hundirse alrededor del pilar. Las fisuras diagonales se abren ligeramente, indicando esfuerzos de cortante elevados."
punzonamiento,"El patrón de fisuración forma una pirámide truncada alrededor del pilar. Las grietas se cruzan entre sí, generando desprendimientos superficiales."
corrosion,El área afectada presenta grietas lineales acompañadas de manchas marrones. El avance del daño indica corrosión en etapa intermedia.
corrosion,"El concreto presenta grietas longitudinales acompañadas de eflorescencias y coloración rojiza. El acero de refuerzo se encuentra oxidado, con pérdida de adherencia."
corrosion,"Fisura delgada y continua en dirección del refuerzo. El concreto está suelto y se desprende fácilmente, mostrando oxidación interna del acero."
corrosion,"El concreto presenta grietas longitudinales acompañadas de eflorescencias y coloración rojiza. El acero de refuerzo se encuentra oxidado, con pérdida de adherencia."
corrosion,"A simple vista se nota una grieta paralela a la armadura, con partes del recubrimiento despegadas. El sonido hueco al golpear confirma la separación entre concreto y acero."
corrosion,"El concreto presenta grietas longitudinales acompañadas de eflorescencias y coloración rojiza. El acero de refuerzo se encuentra oxidado, con pérdida de adherencia."
punzonamiento,"La losa presenta grietas perimetrales en torno al pilar, con inclinación marcada. La superficie muestra hundimiento leve en el centro."
punzonamiento,Se observa un conjunto de grietas diagonales que siguen el contorno del apoyo. El patrón indica un esfuerzo concentrado típico del punzonamiento.
punzonamiento,"Se observan grietas diagonales con separación progresiva. El daño aumenta hacia el contorno del apoyo, propio de punzonamiento avanzado."
punzonamiento,"Las grietas diagonales convergen hacia el pilar central, visibles tanto en la parte inferior como superior de la losa. Muestran un patrón radial clásico."
punzonamiento,"A simple vista, la losa parece hundirse alrededor del pilar. Las fisuras diagonales se abren ligeramente, indicando esfuerzos de cortante elevados."
corrosion,"Fisura delgada y continua en dirección del refuerzo. El concreto está suelto y se desprende fácilmente, mostrando oxidación interna del acero."
